Mth,Nbr,Vol,Tim,Gender,Mar
2,50,12495,98,F,1
0,13,3260,28,F,1
1,16,4003,35,M,1
2,20,4999,45,M,1
1,24,5996,77,F,0
4,4,996,4,F,0
2,7,1770,14,F,1
1,12,3019,35,M,0
2,9,2234,22,F,1
5,46,11483,98,M,1
4,23,5775,58,M,0
0,3,733,4,F,0
2,10,2499,28,F,1
1,13,3268,47,M,0
2,6,1492,15,M,1
2,5,1268,11,M,1
2,14,3482,48,M,1
2,15,3725,49,M,1
2,6,1504,15,F,1
2,3,765,4,M,1
2,3,735,4,M,1
4,11,2732,28,M,0
2,6,1517,16,M,1
2,6,1475,16,F,1
9,9,2255,16,F,0
4,14,3524,40,F,0
4,6,1509,14,F,0
4,12,2985,34,F,1
4,5,1257,11,M,1
4,8,2006,21,M,0
1,14,3479,58,F,0
4,10,2489,28,F,1
4,10,2483,28,F,1
4,9,2248,26,F,1
2,16,3975,64,F,0
2,8,2004,28,F,1
2,12,3010,47,F,1
4,6,1481,16,F,1
2,14,3509,57,F,1
4,7,1741,22,F,1
2,13,3242,53,F,1
2,5,1255,16,M,0
2,5,1235,16,F,1
2,5,1263,16,M,0
4,20,4975,69,F,1
4,9,2235,28,F,1
2,9,2275,36,M,0
2,2,496,2,M,0
2,2,505,2,F,0
2,2,508,2,M,0
2,11,2763,46,M,0
2,11,2774,46,F,1
2,6,1507,22,M,0
2,12,2995,52,F,0
4,5,1249,14,F,1
4,19,4748,69,F,1
4,8,2012,26,M,1
2,7,1760,28,F,1
2,16,3992,81,F,0
3,6,1484,21,F,0
2,7,1756,29,F,0
2,8,1987,35,M,1
2,10,2499,49,M,0
4,5,1234,16,F,1
2,3,748,9,F,1
3,16,3976,74,M,0
2,4,978,14,F,1
0,2,513,4,M,0
4,7,1770,25,F,0
1,9,2259,51,M,0
2,4,1019,16,F,0
2,4,984,16,F,0
4,17,4226,71,M,1
2,2,480,4,M,0
2,2,499,4,F,1
2,2,519,4,F,1
2,4,976,16,F,1
2,2,488,4,M,0
2,2,522,4,F,0
2,2,522,4,M,0
4,6,1479,23,F,1
2,4,1001,16,F,0
2,4,1015,16,M,0
2,4,1017,16,F,0
2,6,1525,28,M,1
2,6,1517,28,M,0
4,2,521,4,F,0
4,2,514,4,F,0
4,2,503,4,M,0
2,7,1738,35,F,1
4,2,515,4,M,1
4,2,481,4,F,0
4,2,514,4,M,0
4,2,510,4,F,0
12,11,2739,23,M,0
4,7,1730,28,F,0
3,17,4243,86,M,0
4,9,2265,38,M,1
4,4,1000,14,F,1
5,7,1725,26,M,1
4,8,2017,34,M,1
2,13,3232,76,F,1
4,9,2225,40,M,0
2,5,1239,26,M,0
2,5,1273,26,F,0
6,17,4273,70,M,0
0,8,2013,59,F,0
3,5,1242,26,F,0
2,3,757,14,F,0
2,10,2486,64,F,0
4,5,1258,23,F,1
4,9,2244,46,F,0
4,5,1228,23,F,0
4,8,2014,40,M,1
2,12,2979,82,M,0
11,24,5991,64,M,0
2,7,1742,46,F,1
4,11,2754,61,F,0
1,7,1748,57,M,0
2,11,2732,79,F,1
2,3,750,16,F,1
4,5,1250,26,F,1
2,6,1495,41,M,1
2,5,1234,33,F,1
2,4,977,26,F,0
2,5,1261,34,F,0
4,8,1975,46,F,1
2,4,981,26,M,0
4,8,2025,48,F,1
2,2,489,10,M,1
4,5,1248,28,M,0
2,12,3021,95,M,0
2,2,508,10,M,0
4,6,1509,35,F,0
2,11,2750,88,F,0
2,3,744,19,M,0
