"Type","Treat","Conc","uptake"
"Quebec","NonChilled",208,30.7
"Mississippi","NonChilled",197,43.97
"Quebec","NonChilled",200,33.83
"Mississippi","Chilled",458,38.27
"Mississippi","NonChilled",442,30.3
"Quebec","NonChilled",530,38.87
"Quebec","NonChilled",410,40.22
"Mississippi","NonChilled",134,35.92
"Quebec","NonChilled",99,42.64
"Quebec","NonChilled",251,41.97
"Mississippi","NonChilled",695,44.7
"Quebec","NonChilled",283,39
"Mississippi","NonChilled",517,38.57
"Quebec","NonChilled",524,27.81
"Quebec","NonChilled",794,30.44
"Mississippi","NonChilled",230,27.59
"Quebec","NonChilled",626,42.25
"Quebec","NonChilled",266,34.64
"Quebec","NonChilled",326,41.71
"Mississippi","NonChilled",97,29.73
"Mississippi","NonChilled",798,34.31
"Mississippi","NonChilled",404,40.01
"Quebec","NonChilled",798,28.07
"Mississippi","NonChilled",234,32.95
"Mississippi","NonChilled",174,40.98
"Mississippi","NonChilled",272,42.13
"Quebec","NonChilled",575,42.67
"Quebec","NonChilled",502,44.15
"Quebec","NonChilled",389,33.91
"Quebec","NonChilled",609,44.11
"Mississippi","NonChilled",500,39.67
"Mississippi","NonChilled",502,34.6
"Mississippi","NonChilled",511,34.04
"Mississippi","NonChilled",252,30.79
"Quebec","NonChilled",168,40.54
"Quebec","NonChilled",614,35.01
"Mississippi","NonChilled",527,35.16
"Quebec","NonChilled",766,28.5
"Quebec","NonChilled",772,33.57
"Quebec","NonChilled",620,43.11
"Quebec","NonChilled",402,36.8
"Quebec","NonChilled",218,27.55
"Quebec","NonChilled",402,33.99
"Quebec","NonChilled",633,29.04
"Quebec","NonChilled",743,31.99
"Quebec","NonChilled",734,39.95
"Quebec","NonChilled",670,33.77
"Quebec","NonChilled",236,38.42
"Quebec","Chilled",130,35.94
"Mississippi","Chilled",433,41.53
"Quebec","NonChilled",511,37.48
"Quebec","NonChilled",163,30.1
"Mississippi","Chilled",765,43.87
"Quebec","NonChilled",210,27.97
"Quebec","NonChilled",745,28.57
"Quebec","NonChilled",185,42.15
"Quebec","NonChilled",562,34.58
"Mississippi","NonChilled",648,39.91
"Mississippi","NonChilled",634,40.25
"Quebec","NonChilled",569,44.77
"Mississippi","NonChilled",177,44.3
"Quebec","NonChilled",695,29.55
"Quebec","NonChilled",531,38.97
"Quebec","NonChilled",685,27.6
"Mississippi","NonChilled",215,35.9
"Quebec","NonChilled",102,41.24
"Mississippi","NonChilled",323,33.83
"Mississippi","NonChilled",285,44.07
"Mississippi","Chilled",677,38.89
"Quebec","NonChilled",753,34.79
"Mississippi","NonChilled",185,42.1
"Quebec","NonChilled",739,41.48
"Mississippi","Chilled",522,34.69
"Quebec","NonChilled",377,32.93
"Quebec","NonChilled",564,37.17
"Quebec","NonChilled",636,42.5
"Quebec","NonChilled",463,37.55
"Quebec","NonChilled",373,38.61
"Quebec","NonChilled",776,40.81
"Quebec","NonChilled",130,39.47
"Quebec","NonChilled",203,42.6
"Mississippi","NonChilled",586,28.7
"Quebec","NonChilled",608,37.98
"Mississippi","NonChilled",171,31.34
"Quebec","NonChilled",423,35.45
"Quebec","NonChilled",548,32.11
"Mississippi","NonChilled",375,43.53
"Mississippi","NonChilled",793,34.2
"Mississippi","NonChilled",573,37.18
"Quebec","NonChilled",317,28.46
"Quebec","NonChilled",203,43.97
"Mississippi","NonChilled",307,40.24
"Quebec","NonChilled",162,35.56
"Mississippi","NonChilled",114,30.27
"Quebec","NonChilled",314,40.15
"Quebec","NonChilled",618,38.06
"Mississippi","Chilled",772,28.1
"Quebec","NonChilled",388,27.96
"Quebec","NonChilled",463,35.19
"Quebec","NonChilled",143,30.26
"Quebec","NonChilled",539,35.84
"Quebec","NonChilled",344,44.67
"Quebec","NonChilled",394,31.03
"Mississippi","NonChilled",774,39.83
"Quebec","Chilled",575,29.7
"Mississippi","NonChilled",602,36.46
"Mississippi","NonChilled",215,41.91
"Quebec","Chilled",239,29.28
"Quebec","Chilled",713,41.75
"Quebec","NonChilled",685,31.43
"Mississippi","NonChilled",603,28.75
"Quebec","NonChilled",293,29.95
"Quebec","NonChilled",243,38.96
"Mississippi","NonChilled",443,39.19
"Mississippi","NonChilled",463,29.39
"Quebec","NonChilled",250,44.63
"Quebec","NonChilled",633,29.64
"Mississippi","Chilled",112,43.95
"Quebec","NonChilled",597,39.61
"Quebec","NonChilled",688,37.22
"Quebec","NonChilled",751,31.43
"Quebec","NonChilled",562,33.14
"Quebec","NonChilled",285,42.12
"Quebec","NonChilled",249,43.59
"Quebec","NonChilled",707,36.28
"Mississippi","NonChilled",112,42.99
"Quebec","Chilled",694,39.67
"Quebec","NonChilled",464,34.63
"Quebec","NonChilled",402,32.4
"Mississippi","NonChilled",752,44.34
"Quebec","NonChilled",211,29.25
"Mississippi","NonChilled",362,39.25
"Mississippi","NonChilled",192,41.76
"Mississippi","NonChilled",201,30.89
"Quebec","NonChilled",572,37.69
"Mississippi","NonChilled",491,29.91
"Mississippi","NonChilled",428,34.3
"Mississippi","NonChilled",667,31.3
"Mississippi","NonChilled",773,36.5
"Quebec","NonChilled",458,39.08
"Quebec","NonChilled",591,43.34
"Quebec","NonChilled",223,32.99
"Quebec","NonChilled",345,31.37
"Quebec","Chilled",130,32.58
"Mississippi","NonChilled",203,31.08
"Quebec","NonChilled",165,29.21
"Quebec","NonChilled",293,31.82
"Quebec","NonChilled",368,43.63
"Quebec","NonChilled",542,28.02
"Mississippi","NonChilled",593,36.03
"Mississippi","Chilled",325,41.29
"Quebec","NonChilled",775,42.08
"Quebec","NonChilled",586,37.37
"Quebec","Chilled",209,31.35
"Quebec","NonChilled",355,37.48
"Quebec","NonChilled",308,29.48
"Quebec","NonChilled",418,35.69
"Quebec","Chilled",675,28.69
"Quebec","NonChilled",259,32.49
"Quebec","NonChilled",379,39.18
"Quebec","NonChilled",780,30.69
"Quebec","NonChilled",183,34.11
"Quebec","NonChilled",539,41.45
"Quebec","NonChilled",591,31.11
"Quebec","NonChilled",512,28.38
"Quebec","NonChilled",798,41.01
"Mississippi","NonChilled",127,39.06
"Quebec","NonChilled",793,36.2
"Quebec","NonChilled",620,30.85
"Quebec","Chilled",403,30.38
"Quebec","NonChilled",203,38
"Quebec","NonChilled",411,27.7
"Mississippi","NonChilled",226,31.13
"Mississippi","Chilled",396,41.83
"Mississippi","NonChilled",674,32.41
"Quebec","NonChilled",131,27.29
"Quebec","NonChilled",324,44.31
"Quebec","NonChilled",689,28.58
"Mississippi","NonChilled",123,40.46
"Quebec","NonChilled",653,42.05
"Mississippi","NonChilled",773,27.29
"Quebec","NonChilled",561,42.35
"Mississippi","NonChilled",101,36.91
"Quebec","Chilled",423,33.11
"Quebec","NonChilled",600,32.86
"Quebec","NonChilled",115,38.51
"Quebec","NonChilled",691,29.3
"Quebec","NonChilled",621,32.6
"Mississippi","NonChilled",281,37.5
"Mississippi","NonChilled",621,40.67
"Quebec","NonChilled",568,36.93
"Quebec","NonChilled",216,39.38
"Mississippi","NonChilled",567,33.68
"Quebec","NonChilled",751,43.32
"Mississippi","NonChilled",695,44.56
"Quebec","NonChilled",646,40.79
"Quebec","Chilled",579,27.22
"Mississippi","NonChilled",512,36.41
"Quebec","Chilled",379,41.38
"Quebec","NonChilled",185,30.73
"Quebec","Chilled",673,33.95
"Mississippi","Chilled",600,36.76
"Quebec","NonChilled",651,40.4
"Quebec","NonChilled",108,33
"Quebec","NonChilled",218,32.85
"Mississippi","Chilled",517,34.63
"Quebec","NonChilled",152,31.97
"Quebec","NonChilled",594,38.27
"Quebec","NonChilled",492,27.78
"Quebec","NonChilled",294,37.92
"Quebec","NonChilled",371,34.51
"Quebec","Chilled",569,27.79
"Quebec","NonChilled",209,44.88
"Mississippi","NonChilled",171,38.28
"Quebec","NonChilled",471,42.1
"Mississippi","NonChilled",168,34.15
"Quebec","NonChilled",161,44.16
"Quebec","NonChilled",546,33.81
"Mississippi","NonChilled",493,41.76
"Mississippi","Chilled",310,27.13
"Quebec","NonChilled",283,42.73
"Mississippi","NonChilled",541,28.33
"Mississippi","NonChilled",681,41.7
"Mississippi","Chilled",131,37.55
"Quebec","Chilled",795,39.29
"Quebec","NonChilled",111,39.85
"Quebec","NonChilled",222,32.04
"Quebec","NonChilled",327,39.12
"Mississippi","Chilled",698,32.35
"Mississippi","NonChilled",225,37.28
"Quebec","NonChilled",656,27.98
"Quebec","NonChilled",700,33.26
"Quebec","NonChilled",428,35.96
"Quebec","NonChilled",552,36.57
"Quebec","NonChilled",324,41.68
"Quebec","NonChilled",424,36.19
"Quebec","NonChilled",759,42.28
"Mississippi","NonChilled",268,37.7
"Quebec","Chilled",111,36.68
"Mississippi","NonChilled",777,38.29
"Quebec","NonChilled",278,32.26
"Mississippi","NonChilled",556,37.21
"Quebec","NonChilled",148,44.99
"Quebec","NonChilled",778,43.57
"Quebec","NonChilled",743,40.85
"Mississippi","NonChilled",707,42.19
"Quebec","NonChilled",394,43.6
"Mississippi","NonChilled",646,37.81
"Mississippi","NonChilled",306,33.62
"Mississippi","NonChilled",299,40.45
"Quebec","NonChilled",799,35.73
"Quebec","NonChilled",791,27.09
"Quebec","NonChilled",433,39.12
"Quebec","NonChilled",632,34.27
"Quebec","NonChilled",327,44.16
"Mississippi","Chilled",262,29.42
"Quebec","NonChilled",531,33.8
"Quebec","NonChilled",335,43.2
"Quebec","Chilled",136,41.46
"Mississippi","NonChilled",787,36.12
"Mississippi","NonChilled",580,27.33
"Mississippi","NonChilled",703,31.5
"Mississippi","NonChilled",420,32.51
"Mississippi","NonChilled",184,38.91
"Quebec","NonChilled",575,28.77
"Quebec","NonChilled",109,44.38
"Quebec","NonChilled",210,42.61
"Quebec","Chilled",727,32.13
"Quebec","NonChilled",203,34.82
"Quebec","Chilled",277,33.14
"Mississippi","NonChilled",267,33.27
"Quebec","NonChilled",315,32.48
"Quebec","NonChilled",251,43.46
"Quebec","NonChilled",117,32.1
"Mississippi","Chilled",732,42.62
"Mississippi","NonChilled",771,41.7
"Mississippi","NonChilled",760,30.32
"Quebec","NonChilled",415,31.09
"Quebec","NonChilled",404,38.98
"Quebec","NonChilled",130,35.43
"Mississippi","NonChilled",349,28.97
"Quebec","Chilled",727,29.62
"Quebec","NonChilled",357,32.71
"Quebec","NonChilled",450,37.93
"Quebec","NonChilled",467,44.05
"Quebec","NonChilled",215,34.61
"Quebec","NonChilled",475,43.68
"Quebec","NonChilled",173,28.79
"Quebec","NonChilled",528,42.59
"Mississippi","NonChilled",479,31.69
"Quebec","NonChilled",255,32.11
"Quebec","NonChilled",731,29.99
"Quebec","NonChilled",235,27.54
"Mississippi","NonChilled",392,28.77
"Mississippi","NonChilled",718,29.16
"Mississippi","NonChilled",263,30.49
"Mississippi","NonChilled",301,41.93
"Quebec","NonChilled",713,27.28
"Quebec","NonChilled",531,33.94
"Mississippi","NonChilled",699,43.46
"Mississippi","NonChilled",431,27.28
"Quebec","NonChilled",725,32.57
"Mississippi","NonChilled",214,34.71
"Mississippi","NonChilled",533,37.12
"Quebec","NonChilled",605,43.57
"Quebec","NonChilled",229,36.3
"Quebec","NonChilled",496,40.32
"Quebec","NonChilled",568,38.12
"Quebec","NonChilled",743,30.7
"Quebec","NonChilled",325,36.16
"Quebec","NonChilled",480,28.1
"Quebec","NonChilled",99,40.94
"Mississippi","NonChilled",356,30.68
"Quebec","NonChilled",545,42.43
"Quebec","NonChilled",525,36.25
"Mississippi","NonChilled",672,31.53
"Mississippi","NonChilled",178,41.63
"Quebec","NonChilled",563,28.21
"Quebec","NonChilled",237,27.47
"Mississippi","NonChilled",509,37.73
"Mississippi","NonChilled",585,42.24
"Quebec","NonChilled",467,35.14
"Quebec","Chilled",356,36.04
"Mississippi","NonChilled",587,30.77
"Quebec","Chilled",429,39.88
"Quebec","NonChilled",258,36.65
"Mississippi","NonChilled",415,27.88
"Quebec","NonChilled",151,41.81
"Quebec","NonChilled",277,31.54
"Mississippi","NonChilled",486,36.39
"Quebec","NonChilled",110,32.89
"Quebec","NonChilled",244,28.99
"Mississippi","NonChilled",544,42.33
"Mississippi","NonChilled",600,38.24
"Quebec","NonChilled",643,42.27
"Quebec","NonChilled",147,29.27
"Mississippi","NonChilled",165,39.03
"Quebec","NonChilled",762,37.94
"Quebec","NonChilled",751,44.02
"Mississippi","NonChilled",745,37.45
"Quebec","NonChilled",553,32.46
"Quebec","NonChilled",205,43.83
"Quebec","NonChilled",737,42.2
"Quebec","NonChilled",745,34.64
"Quebec","NonChilled",214,35.74
"Quebec","Chilled",147,40.83
"Mississippi","NonChilled",494,31.54
"Quebec","NonChilled",353,41.62
"Quebec","NonChilled",419,41.8
"Quebec","NonChilled",423,34.51
"Quebec","NonChilled",644,43.49
"Mississippi","NonChilled",676,28.28
"Quebec","NonChilled",294,41.58
"Quebec","NonChilled",610,35.75
"Quebec","NonChilled",445,32.49
"Mississippi","NonChilled",142,38.12
"Mississippi","NonChilled",122,32.75
"Quebec","NonChilled",262,38.74
"Quebec","NonChilled",249,43.49
"Mississippi","NonChilled",393,37.24
"Quebec","NonChilled",483,38.48
"Quebec","NonChilled",598,34.49
"Mississippi","NonChilled",264,41.34
"Quebec","NonChilled",726,42.52
"Quebec","NonChilled",435,33.61
"Mississippi","NonChilled",280,35.78
"Quebec","NonChilled",321,43.13
"Quebec","NonChilled",563,35.35
"Quebec","NonChilled",608,30.77
"Quebec","NonChilled",498,39.17
"Quebec","NonChilled",714,40.21
"Quebec","NonChilled",383,38.75
"Mississippi","NonChilled",240,30.72
"Quebec","NonChilled",427,44.29
"Quebec","NonChilled",362,27.12
"Mississippi","NonChilled",270,43.24
"Mississippi","NonChilled",747,28.61
"Quebec","Chilled",424,42.07
"Quebec","NonChilled",105,36.98
"Mississippi","NonChilled",760,37.86
"Quebec","NonChilled",359,41.6
"Mississippi","NonChilled",101,31.73
"Quebec","Chilled",786,27.72
"Mississippi","NonChilled",361,29.49
"Quebec","Chilled",790,28.9
"Mississippi","NonChilled",193,30.16
"Quebec","NonChilled",491,44.3
"Quebec","Chilled",655,30.49
"Quebec","NonChilled",232,32.98
"Quebec","NonChilled",596,39.46
"Mississippi","Chilled",494,39.48
"Quebec","NonChilled",102,32.15
"Mississippi","NonChilled",276,32.38
"Mississippi","NonChilled",427,34.74
"Quebec","NonChilled",748,33.89
"Quebec","NonChilled",797,43.32
"Quebec","NonChilled",243,36.63
"Quebec","NonChilled",479,37.93
"Quebec","NonChilled",550,36.08
"Mississippi","NonChilled",730,36.08
"Mississippi","NonChilled",611,34.63
"Quebec","NonChilled",525,30.92
"Mississippi","NonChilled",253,32.75
"Quebec","NonChilled",741,31.35
"Quebec","NonChilled",661,27.02
"Quebec","NonChilled",315,31.03
"Mississippi","NonChilled",255,44.44
"Quebec","Chilled",559,34.78
"Quebec","NonChilled",614,44.34
"Mississippi","Chilled",423,31.6
"Quebec","NonChilled",704,29.44
"Mississippi","Chilled",571,37.13
"Quebec","NonChilled",209,34.8
"Quebec","NonChilled",104,42.53
"Quebec","NonChilled",706,43.48
"Quebec","NonChilled",166,38.13
"Mississippi","NonChilled",315,42.14
"Quebec","NonChilled",401,32.19
"Quebec","NonChilled",529,43.18
"Quebec","NonChilled",334,29.54
"Quebec","Chilled",504,29.55
"Quebec","NonChilled",680,37.43
"Quebec","NonChilled",331,44.91
"Quebec","Chilled",364,36.6
"Mississippi","NonChilled",522,29.31
"Quebec","NonChilled",444,30.19
"Quebec","NonChilled",172,40.94
"Quebec","Chilled",691,38.71
"Quebec","Chilled",409,37.01
"Mississippi","NonChilled",624,40.42
"Mississippi","Chilled",656,33.18
"Quebec","NonChilled",370,34.04
"Quebec","NonChilled",105,33.34
"Mississippi","NonChilled",619,38.21
"Quebec","NonChilled",143,29.89
"Quebec","NonChilled",470,31.44
"Quebec","NonChilled",181,44.06
"Quebec","Chilled",571,44.79
"Quebec","NonChilled",134,36.64
"Quebec","NonChilled",658,27.82
"Quebec","NonChilled",562,37.84
"Quebec","NonChilled",267,39.99
"Mississippi","NonChilled",208,37.49
"Quebec","NonChilled",136,36.48
"Mississippi","NonChilled",106,33.37
"Mississippi","NonChilled",683,28.44
"Mississippi","NonChilled",280,29.31
"Quebec","NonChilled",134,33.59
"Quebec","NonChilled",340,37.8
"Mississippi","NonChilled",504,31.28
"Quebec","NonChilled",662,27.33
"Quebec","NonChilled",335,32.58
"Quebec","NonChilled",190,28.4
"Quebec","NonChilled",640,31.52
"Quebec","NonChilled",713,29.54
"Mississippi","NonChilled",792,33.66
"Mississippi","NonChilled",557,29.53
"Mississippi","NonChilled",274,37.22
"Quebec","NonChilled",547,36.77
"Quebec","NonChilled",413,29.95
"Mississippi","Chilled",234,44.01
"Quebec","NonChilled",522,38.27
"Quebec","NonChilled",782,28.17
"Quebec","NonChilled",235,30.26
"Quebec","NonChilled",402,39.02
"Quebec","Chilled",334,43.32
"Quebec","Chilled",119,41.68
"Mississippi","NonChilled",165,34.96
"Quebec","NonChilled",391,29.9
"Mississippi","NonChilled",128,29.98
"Quebec","NonChilled",114,35.62
"Mississippi","NonChilled",217,34.13
"Quebec","NonChilled",362,41.31
"Mississippi","NonChilled",510,40.86
"Mississippi","NonChilled",332,34.18
"Quebec","NonChilled",444,38.34
"Quebec","NonChilled",625,34.43
"Quebec","Chilled",214,33.58
"Quebec","NonChilled",690,38.18
"Mississippi","NonChilled",321,44.21
"Quebec","NonChilled",260,35.57
"Mississippi","NonChilled",314,38.17
"Quebec","NonChilled",652,32.21
"Mississippi","NonChilled",274,34.34
"Mississippi","Chilled",746,35.01
"Quebec","NonChilled",200,32.1
"Quebec","NonChilled",248,44.46
"Mississippi","NonChilled",536,42.89
"Quebec","NonChilled",276,41.56
"Mississippi","NonChilled",594,39.75
"Mississippi","NonChilled",618,30.24
"Quebec","NonChilled",280,28.15
"Quebec","Chilled",499,28.92
"Mississippi","NonChilled",741,42.27
"Quebec","NonChilled",594,33.47
"Mississippi","NonChilled",690,41.13
"Quebec","Chilled",744,43.34
"Quebec","NonChilled",303,38.4
"Mississippi","NonChilled",554,38.07
"Mississippi","NonChilled",195,28.22
"Mississippi","NonChilled",872,11.59
"Mississippi","NonChilled",708,14.8
"Mississippi","Chilled",767,22.41
"Mississippi","Chilled",400,14.2
"Mississippi","NonChilled",709,15.49
